fold,model,model_sample_size,training_rows,validation_rows,best_threshold,default_precision_not_merged,default_recall_not_merged,default_f1_not_merged,tuned_precision_not_merged,tuned_recall_not_merged,tuned_f1_not_merged
1,Random forest balanced,120000,80000,40000,0.5421215206747463,0.2539118854733104,0.5277970011534026,0.34287426944402816,0.2965089216446858,0.4408304498269896,0.35454545454545455
2,Random forest balanced,120000,80000,40000,0.5450363476045497,0.24951789157917292,0.5372549019607843,0.3407710878630478,0.29218677762367085,0.43737024221453286,0.35033259423503327
3,Random forest balanced,120000,80000,40000,0.5519883249131364,0.2469873093740002,0.5342560553633218,0.337806301050175,0.2967139175257732,0.4249134948096886,0.34942615953713363
4,Random forest balanced,120000,80000,40000,0.563622106310413,0.24980959634424982,0.5296424452133794,0.33949430726009167,0.3125677139761647,0.39930795847750866,0.3506532968702522
5,Random forest balanced,120000,80000,40000,0.5490459560667761,0.25169324885296046,0.5314878892733564,0.3416116835940396,0.29953021221448245,0.4265282583621684,0.3519223448800914
6,Random forest balanced,120000,80000,40000,0.5471706291525782,0.24775064267352184,0.5335640138408304,0.33838051349572085,0.2937888198757764,0.4364475201845444,0.35118329466357306
