feature,mean,std,50%,90%,99%,max,skew,outlier_flag
first_pr,0.03225408578206167,0.17667424706748386,0.0,0.0,1.0,1.0,5.29501969228923,no_extreme_tail
core_member,0.802345004173507,0.3982306493499902,1.0,1.0,1.0,1.0,-1.5184445638742619,no_extreme_tail
prior_interaction,203.36870758966347,340.7160044342702,98.0,513.0,1405.0,20105.0,13.57201923585465,extreme_tail
followers,150.3621580999022,1325.318904790078,18.0,206.0,1810.0,53972.0,27.243684955637118,extreme_tail
prev_pullreqs,110.66584790076901,194.90099292230923,38.0,298.0,952.0,3744.0,4.093878514036034,extreme_tail
account_creation_days,1702.3634307087887,891.4253056318086,1683.0,2906.0,3684.0,4125.0,0.1504769910363674,extreme_tail
contrib_perc_commit,0.19296164632683294,0.23933967091478583,0.0893217,0.5736186000000003,0.9406558999999997,1.0,1.5226134385009853,extreme_tail
sloc,84551.21833226088,223192.68611108934,16973.0,207807.0,1054372.459999997,7199716.0,7.972854256046461,extreme_tail
team_size,10.273870977920092,13.51028467735789,6.0,21.0,83.0,267.0,4.433664453903091,extreme_tail
open_issue_num,169.8396656222541,397.75795685990494,38.0,485.0,1652.0,6893.0,7.753334675788536,extreme_tail
project_age,34.812472331991245,24.296918302093417,31.0,70.0,102.0,134.0,0.8015706289547085,extreme_tail
open_pr_num,52.656280865068084,183.18608919532986,13.0,99.0,793.0,10932.0,22.305403127287697,extreme_tail
fork_num,564.7088938246438,1730.0834769459718,75.0,1276.0,9112.0,34346.0,6.761496248839366,extreme_tail
test_lines_per_kloc,272.7279668113209,236.95530191162732,238.257,606.148,929.387399999998,1000.0,0.6667095187900355,extreme_tail
stars,2038.9956362231721,7582.797123279865,145.0,4332.0,30250.0,238444.0,14.606234864040534,extreme_tail
test_cases_per_kloc,12.357113154906548,16.3609938549481,5.88623,35.20566000000001,63.96093599999999,250.0,2.1300639285242116,extreme_tail
asserts_per_kloc,32.69564651406347,37.879602001473856,20.5479,82.4443,165.95789999999965,566.667,1.7659557234941823,extreme_tail
perc_external_contribs,0.1357345351552054,0.1576439490815918,0.0801925,0.354911,0.701299,1.0,1.7867780033363216,extreme_tail
churn_addition,434.89507813015416,7261.8377994034,17.0,418.0,5901.179999999935,2962001.0,158.79217234321465,extreme_tail
churn_deletion,284.8410108970124,5996.046974222617,5.0,194.0,3758.0,1967331.0,150.50249384557694,extreme_tail
description_length,47.46629881162616,125.60870968177669,21.0,110.0,380.0,31223.0,57.17572870514923,extreme_tail
test_inclusion,0.21029407687093107,0.40751765224224845,0.0,1.0,1.0,1.0,1.4218106898147254,no_extreme_tail
ci_exists,0.695109299988622,0.46036134035451887,1.0,1.0,1.0,1.0,-0.8476370884607803,no_extreme_tail
friday_effect,0.16622318175168732,0.3722810337810721,0.0,1.0,1.0,1.0,1.7931477901385906,no_extreme_tail
