feature_policy,feature_count,source_rows,training_rows,validation_rows,training_scope,threshold,precision_not_merged,recall_not_merged,f1_not_merged
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777521177671292,0.366296179890854,0.45242800677583284,0.4048314518038999
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777604634537808,0.36630947278182596,0.4523927159796725,0.4048254409372977
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777495982989476,0.36628571428571427,0.45242800677583284,0.40482505999747376
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777604457251331,0.36629900560064005,0.4523927159796725,0.4048190488220804
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777480058087744,0.36627524927859206,0.45242800677583284,0.4048186683928825
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777604394635185,0.3662885390176301,0.4523927159796725,0.4048126569087206
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777418507383357,0.36626478486943603,0.45242800677583284,0.4048122769901165
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777528924614282,0.36627807303274473,0.4523927159796725,0.40480626519720847
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.577737795248914,0.366254321058195,0.45242800677583284,0.4048058857891662
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777652678573233,0.36629136423386865,0.45235742518351213,0.404800252644876
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777362218776274,0.3662438578448177,0.45242800677583284,0.4047994947900221
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777357666437184,0.36623339522925297,0.45242800677583284,0.4047931039926746
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841618713691377,0.3748909676060998,0.4398644833427442,0.4047870353831415
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.577729214077334,0.36622293321144944,0.45242800677583284,0.40478671339711403
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.584158581037199,0.3748796920115496,0.4398644833427442,0.40478046245778126
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777249093856555,0.366212471791356,0.45242800677583284,0.4047803230033311
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837803278092922,0.37434036939313986,0.4406055900621118,0.4047788873038516
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777675187246922,0.3662732546509302,0.4523221343873518,0.40477506355698023
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777151100358346,0.3662020109689214,0.45242800677583284,0.40477393281131596
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841537733619522,0.374868417095251,0.4398644833427442,0.40477388974587963
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5776940713793837,0.3661782766401051,0.4524632975719932,0.404773556015091
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837761932437322,0.37432914580397564,0.4406055900621118,0.4047723256982606
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841927570721461,0.37488344111896527,0.43982919254658387,0.4047677043243858
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777109928634484,0.3661915507440944,0.45242800677583284,0.4047675428210593
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841431186534931,0.37485714285714283,0.4398644833427442,0.40476731724742626
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5776910641536889,0.366167818586851,0.4524632975719932,0.40476716653512235
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837817475003019,0.3743440582926025,0.4405702992659514,0.4047661506038745
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837741814377176,0.3743179228878096,0.4406055900621118,0.40476576430539796
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777725815631088,0.3662760788796799,0.4522868435911914,0.4047626567286739
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5842008102330463,0.37489846875846095,0.4397939017504235,0.40476151809929034
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777092844363776,0.3661810911168238,0.45242800677583284,0.40476115303255145
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841804075529501,0.37487216507248994,0.43982919254658387,0.40476113149946413
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5776878883125864,0.3661573611309439,0.4524632975719932,0.40476077725687043
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841334016917787,0.374845869297164,0.4398644833427442,0.40476074496241093
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837811796709956,0.3743328335832084,0.4405702992659514,0.40475958888564667
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837724703617657,0.37430670064458105,0.4406055900621118,0.4047592031252533
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837509595738359,0.37428057553956834,0.4406408808582722,0.40475881742738584
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777713478639251,0.3662656111571547,0.4522868435911914,0.4047562651001943
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841989337567671,0.37488719090307443,0.4397939017504235,0.40475494494787095
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777071029989089,0.36617063208705836,0.45242800677583284,0.40475476344578276
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5776849966083082,0.36614690427233265,0.4524632975719932,0.4047543881803258
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837807083704916,0.3743216095469401,0.4405702992659514,0.4047530273801611
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837715020452138,0.3742954790742295,0.4406055900621118,0.4047526421578162
