feature_policy,feature_count,source_rows,training_rows,validation_rows,training_scope,model,threshold_label,threshold_value,accuracy,balanced_accuracy,precision_not_merged,recall_not_merged,f1_not_merged,precision_merged,recall_merged,f1_merged,roc_auc_merged,average_precision_not_merged,actual_not_merged_predicted_not_merged,actual_not_merged_predicted_merged,actual_merged_predicted_not_merged,actual_merged_predicted_merged,actual_not_merged,actual_merged,predicted_not_merged,predicted_merged,correct_not_merged,missed_not_merged,false_not_merged,correct_merged,requested_sample_size,actual_sample_size
headline_leakage_safer_features,25,1045883,75000,25000,stratified_sample_100000_diagnostic,Random forest balanced,default_model_threshold,,0.7786,0.6717132816126778,0.25323087670275934,0.5352528608342562,0.34380557202133966,0.9346788419632666,0.8081737023910995,0.8668350775893179,0.7414221671633934,0.3170313762792006,1450,1259,4276,18015,2709,22291,5726,19274,1450,1259,4276,18015,100000,100000
headline_leakage_safer_features,25,1045883,195000,65000,stratified_sample_260000_diagnostic,Random forest balanced,default_model_threshold,,0.7797846153846154,0.6827722779688866,0.2599709455890121,0.5589153889835321,0.3548765098251307,0.9376805198973043,0.8066291669542411,0.867231848031759,0.7546616680832772,0.3413680160069534,3937,3107,11207,46749,7044,57956,15144,49856,3937,3107,11207,46749,260000,260000
headline_leakage_safer_features,25,1045883,375000,125000,stratified_sample_500000_diagnostic,Random forest balanced,default_model_threshold,,0.782376,0.6920522866044849,0.26681920633836487,0.5767328559828744,0.3648462490368675,0.9400948619904302,0.8073717172260954,0.8686930120528452,0.7669105826022329,0.3575536988339261,7813,5734,21469,89984,13547,111453,29282,95718,7813,5734,21469,89984,500000,500000
