feature_policy,feature_count,source_rows,training_rows,validation_rows,training_scope,model,threshold_label,threshold_value,accuracy,balanced_accuracy,precision_not_merged,recall_not_merged,f1_not_merged,precision_merged,recall_merged,f1_merged,roc_auc_merged,average_precision_not_merged,actual_not_merged_predicted_not_merged,actual_not_merged_predicted_merged,actual_merged_predicted_not_merged,actual_merged_predicted_merged,actual_not_merged,actual_merged,predicted_not_merged,predicted_merged,correct_not_merged,missed_not_merged,false_not_merged,correct_merged
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,Random forest balanced,default_model_threshold,,0.779642866704147,0.7016283690445179,0.2690736446947113,0.6020256916996047,0.3719191148416635,0.9430661577608143,0.801231046389431,0.8663820392526095,0.7777185422836885,0.3877893062079169,17059,11277,46340,186795,28336,233135,63399,198072,17059,11277,46340,186795
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,Hist gradient boosting weighted,default_model_threshold,,0.7254953704234887,0.6898803501609909,0.22836703810702985,0.6444099378881988,0.3372270187912646,0.9444885186654326,0.7353507624337831,0.8269009543057106,0.7588779577043165,0.35841603359776986,18260,10076,61699,171436,28336,233135,79959,181512,18260,10076,61699,171436
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,Decision tree balanced,default_model_threshold,,0.7068585043848075,0.6511715150918935,0.20246101544601286,0.58007481648786,0.30015887219006226,0.9339989461130987,0.7222682136959272,0.814600164481641,0.7152644897241061,0.3082285711330781,16437,11899,64749,168386,28336,233135,81186,180285,16437,11899,64749,168386
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,Logistic regression balanced,default_model_threshold,,0.6217094821223004,0.6100256627294691,0.16167475216199115,0.595108695652174,0.254271023386963,0.9270021441887395,0.6249426298067643,0.7465770271378208,0.6554604224956866,0.20529679085317,16863,11473,87439,145696,28336,233135,104302,157169,16863,11473,87439,145696
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,Dummy majority,default_model_threshold,,0.8916285171204454,0.5,0.0,0.0,0.0,0.8916285171204454,1.0,0.9427099549944804,0.5,0.10837148287955452,0,28336,0,233135,28336,233135,0,261471,0,28336,0,233135
