cluster,pr_count,merge_rate,not_merged_rate,median_files_changed,median_churn_addition,median_description_length,median_num_commits,median_team_size,median_stars,median_requester_succ_rate,cluster_label,interpretation
0,66400,89.56,10.44,3.0,17.0,20.0,2.0,6.0,118.0,1.0,lower not-merged / larger-change / smaller-project,"Cluster 0 groups lower not-merged / larger-change / smaller-project PRs. It contains 66,400 sampled PRs with a 10.44% not-merged rate."
1,3600,81.83,18.17,2.0,11.0,36.0,2.0,35.0,17139.5,0.985714,higher not-merged / smaller-change / larger-project,"Cluster 1 groups higher not-merged / smaller-change / larger-project PRs. It contains 3,600 sampled PRs with a 18.17% not-merged rate."
