feature_policy,feature_count,source_rows,training_rows,validation_rows,training_scope,model,threshold_label,threshold_value,accuracy,balanced_accuracy,precision_not_merged,recall_not_merged,f1_not_merged,precision_merged,recall_merged,f1_merged,roc_auc_merged,average_precision_not_merged,actual_not_merged_predicted_not_merged,actual_not_merged_predicted_merged,actual_merged_predicted_not_merged,actual_merged_predicted_merged,actual_not_merged,actual_merged,predicted_not_merged,predicted_merged,correct_not_merged,missed_not_merged,false_not_merged,correct_merged,requested_sample_size,actual_sample_size,evaluation_split
headline_leakage_safer_features,25,1045883,75000,25000,stratified_sample_100000_diagnostic,Random forest balanced,default_model_threshold,,0.7786,0.6717132816126778,0.25323087670275934,0.5352528608342562,0.34380557202133966,0.9346788419632666,0.8081737023910995,0.8668350775893179,0.7414221671633934,0.3170313762792006,1450,1259,4276,18015,2709,22291,5726,19274,1450,1259,4276,18015,100000.0,100000.0,sample_validation
headline_leakage_safer_features,25,1045883,195000,65000,stratified_sample_260000_diagnostic,Random forest balanced,default_model_threshold,,0.7797846153846154,0.6827722779688866,0.2599709455890121,0.5589153889835321,0.3548765098251307,0.9376805198973043,0.8066291669542411,0.867231848031759,0.7546616680832772,0.3413680160069534,3937,3107,11207,46749,7044,57956,15144,49856,3937,3107,11207,46749,260000.0,260000.0,sample_validation
headline_leakage_safer_features,25,1045883,375000,125000,stratified_sample_500000_diagnostic,Random forest balanced,default_model_threshold,,0.782376,0.6920522866044849,0.26681920633836487,0.5767328559828744,0.3648462490368675,0.9400948619904302,0.8073717172260954,0.8686930120528452,0.7669105826022329,0.3575536988339261,7813,5734,21469,89984,13547,111453,29282,95718,7813,5734,21469,89984,500000.0,500000.0,sample_validation
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,Random forest balanced,default_model_threshold,,0.779642866704147,0.7016283690445179,0.2690736446947113,0.6020256916996047,0.3719191148416635,0.9430661577608143,0.801231046389431,0.8663820392526095,0.7777185422836885,0.3877893062079169,17059,11277,46340,186795,28336,233135,63399,198072,17059,11277,46340,186795,,,full_source_validation
headline_leakage_safer_features,25,1045883,1045883,261471,full_training_split,Random forest balanced,default_model_threshold,,0.7561598032245047,0.650365992411142,0.22537007090434133,0.515397197923334,0.3136075470065128,0.9304278574455159,0.7853347868989499,0.8517464412229294,0.7108320516818514,0.30129812369755027,14494,13628,49818,182255,28122,232073,64312,195883,14494,13628,49818,182255,,,full_test
