k,silhouette,inertia
2,0.48139179424544354,1772805.2058741148
3,0.19088793223603293,1656190.0298947971
4,0.1181392873138808,1529961.2938743113
5,0.11320930752989826,1469356.2627606923
6,0.13706811704499505,1389420.0948684644
