feature_policy,training_rows,threshold_label,actual_not_merged_predicted_not_merged,actual_not_merged_predicted_merged,actual_merged_predicted_not_merged,actual_merged_predicted_merged
headline_leakage_safer_features,1045883,default_model_threshold,14494,13628,49818,182255
headline_leakage_safer_features,1045883,validation_tuned_not_merged_f1,10234,17888,24393,207680
