feature_policy,feature_count,source_rows,training_rows,validation_rows,training_scope,threshold,precision_not_merged,recall_not_merged,f1_not_merged,source_table
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777521177671292,0.366296179890854,0.4524280067758328,0.4048314518038999,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777604634537808,0.3663094727818259,0.4523927159796725,0.4048254409372977,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777495982989476,0.3662857142857142,0.4524280067758328,0.4048250599974737,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777604457251331,0.36629900560064,0.4523927159796725,0.4048190488220804,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777480058087744,0.366275249278592,0.4524280067758328,0.4048186683928825,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777604394635185,0.3662885390176301,0.4523927159796725,0.4048126569087206,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777418507383357,0.366264784869436,0.4524280067758328,0.4048122769901165,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777528924614282,0.3662780730327447,0.4523927159796725,0.4048062651972084,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.577737795248914,0.366254321058195,0.4524280067758328,0.4048058857891662,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777652678573233,0.3662913642338686,0.4523574251835121,0.404800252644876,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777362218776274,0.3662438578448177,0.4524280067758328,0.4047994947900221,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777357666437184,0.3662333952292529,0.4524280067758328,0.4047931039926746,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841618713691377,0.3748909676060998,0.4398644833427442,0.4047870353831415,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.577729214077334,0.3662229332114494,0.4524280067758328,0.404786713397114,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.584158581037199,0.3748796920115496,0.4398644833427442,0.4047804624577812,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777249093856555,0.366212471791356,0.4524280067758328,0.4047803230033311,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837803278092922,0.3743403693931398,0.4406055900621118,0.4047788873038516,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777675187246922,0.3662732546509302,0.4523221343873518,0.4047750635569802,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777151100358346,0.3662020109689214,0.4524280067758328,0.4047739328113159,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841537733619522,0.374868417095251,0.4398644833427442,0.4047738897458796,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5776940713793837,0.3661782766401051,0.4524632975719932,0.404773556015091,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5837761932437322,0.3743291458039756,0.4406055900621118,0.4047723256982606,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841927570721461,0.3748834411189652,0.4398291925465838,0.4047677043243858,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5777109928634484,0.3661915507440944,0.4524280067758328,0.4047675428210593,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.5841431186534931,0.3748571428571428,0.4398644833427442,0.4047673172474262,top_validation_f1
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.0371192019624778,0.1083714828795545,1.0,0.1955508321055047,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1047486912028812,0.108640469945858,0.999894127611519,0.1959866081927977,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.119808161966624,0.1089117665149464,0.9998235460191982,0.1964265904930944,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.129123554268723,0.1091725440320653,0.9996823828345568,0.1968478766947179,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1367084406118225,0.1094324750394114,0.9995059288537548,0.197266876549745,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1427083422619164,0.1096885906976203,0.9992941840767928,0.1976787615407438,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1482501413957646,0.1099468713105076,0.9990824392998306,0.1980939319301388,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1529755062147609,0.1102134104793461,0.9989412761151892,0.1985236617396946,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1571579370811514,0.110468316333103,0.9986942405420668,0.1989321954665757,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1609467610465949,0.1107262644170746,0.998447204968944,0.1993454266176735,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1645886444200078,0.1109846775617508,0.9982001693958216,0.1997591731375644,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1677785632250689,0.1112247587501032,0.9977766798418972,0.2001394527364945,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1710365133850441,0.1114674050233497,0.9973531902879728,0.2005236419367656,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1739966197113484,0.1117420722327455,0.9972120271033316,0.2009651047426684,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1767430828711946,0.1120133217032749,0.9970355731225296,0.201400076989977,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1795617717736342,0.1122691948402997,0.9967179559570865,0.2018070674988656,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1824587968130411,0.1125148958387303,0.996294466403162,0.2021952049275725,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1850026440144943,0.1127578890163154,0.9958356860530774,0.202577991234399,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1873329593074484,0.1130044232186929,0.9953769057029926,0.2029662358596471,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1895896148509281,0.1132785666941169,0.9951651609260304,0.20340389005702,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1918540481546646,0.1135147980473344,0.9946005081874648,0.2037727936604341,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1940098591907008,0.1137742203842954,0.9942476002258612,0.2041832452764551,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1960099163348709,0.1140485493895896,0.9940005646527386,0.2046196708330155,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.1981340381766042,0.1143013743123363,0.9935417843026538,0.2050167309323808,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2001739273455886,0.1145731138892168,0.993259457933371,0.2054477037231693,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2019981430330608,0.11484630424046,0.992977131564088,0.2058807388789498,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2039198450009987,0.1151014361077346,0.9925183512140032,0.2062806910740546,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2057278328623965,0.1153456306297063,0.9919536984754376,0.2066605151808132,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2074773745691127,0.1156058660873,0.991494918125353,0.2070681014150943,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2091269928738582,0.1158471929397493,0.9908949745906268,0.2074419944811179,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2107195443182365,0.1161036758165608,0.9904009034443816,0.207842222395029,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.212431547968647,0.116357406278131,0.9898715415019764,0.2082369754449785,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2140477746871136,0.1166514143094842,0.989659796725014,0.2087029649916646,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2157073004918235,0.1169144268148222,0.9892010163749294,0.2091135614210471,curve_sample
headline_leakage_safer_features,25,1045883,784412,261471,full_source_internal_validation,0.2173163491216506,0.1171641041942014,0.9886010728402032,0.2094993792721779,curve_sample
